"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angular Velocity, Ch 1+2 (rad/s) Run #2";"Angular Acceleration, Ch 1+2 (rad/s²) Run #2";"Position, Ch 1+2 (m) Run #2";"Velocity, Ch 1+2 (m/s) Run #2";"Acceleration, Ch 1+2 (m/s²) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Angular Velocity, Ch 3+4 (rad/s) Run #2";"Angular Acceleration, Ch 3+4 (rad/s²) Run #2";"Position, Ch 3+4 (m) Run #2";"Velocity, Ch 3+4 (m/s) Run #2";"Acceleration, Ch 3+4 (m/s²) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angular Velocity, Ch 1+2 (rad/s) Run #3";"Angular Acceleration, Ch 1+2 (rad/s²) Run #3";"Position, Ch 1+2 (m) Run #3";"Velocity, Ch 1+2 (m/s) Run #3";"Acceleration, Ch 1+2 (m/s²) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Angular Velocity, Ch 3+4 (rad/s) Run #3";"Angular Acceleration, Ch 3+4 (rad/s²) Run #3";"Position, Ch 3+4 (m) Run #3";"Velocity, Ch 3+4 (m/s) Run #3";"Acceleration, Ch 3+4 (m/s²) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angular Velocity, Ch 1+2 (rad/s) Run #4";"Angular Acceleration, Ch 1+2 (rad/s²) Run #4";"Position, Ch 1+2 (m) Run #4";"Velocity, Ch 1+2 (m/s) Run #4";"Acceleration, Ch 1+2 (m/s²) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Angular Velocity, Ch 3+4 (rad/s) Run #4";"Angular Acceleration, Ch 3+4 (rad/s²) Run #4";"Position, Ch 3+4 (m) Run #4";"Velocity, Ch 3+4 (m/s) Run #4";"Acceleration, Ch 3+4 (m/s²) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4"
0,550;4,677;-4,945;-86,297;0,1117;-0,118;-2,060;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,532E-4;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,384E-4;0,550;-0,035;0,814;41,306;-8,3333E-4;0,019;0,986;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,822E-4
0,600;4,311;-9,134;-78,152;0,1029;-0,218;-1,866;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,913E-4;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,736E-4;0,600;0,000;3,200;86,685;0,0000;0,076;2,069;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,436E-4
0,650;3,752;-12,857;-66,904;0,0896;-0,307;-1,597;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,827E-4;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,926E-4;0,650;0,209;8,843;133,615;0,0050;0,211;3,190;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,414E-4
0,700;3,002;-15,941;-52,748;0,0717;-0,381;-1,259;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,339E-4;0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,144E-4;0,700;0,681;17,861;146,026;0,0163;0,426;3,486;0,000;0,000;-0,194;0,0000;0,000;-0,005;0,002;-6,674E-4
0,750;2,129;-18,210;-36,458;0,0508;-0,435;-0,870;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,584E-4;0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,110E-4;0,750;1,937;26,238;99,484;0,0462;0,626;2,375;0,000;0,000;-0,582;0,0000;0,000;-0,014;0,002;-6,704E-4
0,800;1,152;-19,606;-18,811;0,0275;-0,468;-0,449;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,405E-4;0,800;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,693E-4;0,800;3,630;29,612;13,187;0,0867;0,707;0,315;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;0,002;-6,527E-4
0,850;0,140;-20,129;-0,194;0,0033;-0,481;-0,005;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,410E-4;0,850;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,897E-4;0,850;5,131;26,936;-67,874;0,1225;0,643;-1,620;0,000;-0,116;-0,582;0,0000;-0,003;-0,014;0,002;-7,214E-4
0,900;-0,890;-19,664;19,199;-0,0212;-0,469;0,458;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,700E-4;0,900;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,039E-4;0,900;6,370;21,118;-116,937;0,1521;0,504;-2,792;-0,017;-0,116;-0,194;-4,1667E-4;-0,003;-0,005;0,002;-7,153E-4
0,950;-1,868;-18,210;38,397;-0,0446;-0,435;0,917;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,759E-4;0,950;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,658E-4;0,950;7,278;14,370;-137,687;0,1737;0,343;-3,287;-0,017;-0,116;2,776E-16;-4,1667E-4;-0,003;8,674E-18;0,002;-7,316E-4
1,000;-2,740;-15,766;55,851;-0,0654;-0,376;1,333;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,099E-4;1,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,464E-4;1,000;7,819;7,098;-145,056;0,1867;0,169;-3,463;-0,017;-0,116;0,194;-4,1667E-4;-0,003;0,005;0,002;-7,484E-4
